state,county,precincts,reporting,clinton,obama,nopreference-d,huckabee,mccain,paul,romney,nopreference-r,uncommitted-r
SD,Haakon,6,6,83,64,,22,238,78,10,,2
SD,Hamlin,7,7,406,213,,24,266,119,12,,19
SD,Hand,10,10,312,288,,55,431,70,20,,13
SD,Hanson,5,5,292,201,,21,208,46,8,,7
SD,Harding,4,4,32,31,,7,114,60,3,,6
SD,Hughes,15,15,816,776,,221,2613,314,77,,103
SD,Hutchinson,7,7,389,235,,87,396,93,14,,25
SD,Hyde,5,5,104,70,,22,162,38,5,,10
SD,Jackson,8,8,132,95,,14,154,71,10,,6
SD,Jerauld,5,5,265,182,,10,179,21,6,,9
SD,Jones,3,3,57,34,,11,110,21,3,,3
SD,Kingsbury,6,6,392,310,,40,340,111,11,,13
SD,Lake,10,10,1059,664,,98,707,153,41,,24
SD,Lawrence,12,12,1360,1444,,132,2254,696,74,,117
SD,Lincoln,29,29,2106,1739,,158,1689,342,81,,60
SD,Lyman,7,7,218,266,,17,202,54,4,,14
SD,Marshall,9,9,515,448,,26,204,26,6,,8
SD,McCook,6,6,495,286,,43,266,57,14,,10
SD,McPherson,6,6,133,106,,41,393,74,21,,11
SD,Meade,37,26,964,822,,106,1343,483,43,,49
SD,Mellette,4,4,109,142,,32,168,40,6,,7
SD,Miner,8,8,293,188,,23,72,21,9,,1
SD,Minnehaha,66,66,11290,8765,,600,5142,1272,322,,205
SD,Moody,6,6,711,480,,37,204,43,5,,7
SD,Pennington,49,49,4849,4458,,426,6198,1353,338,,255
SD,Perkins,10,10,143,141,,32,230,165,6,,9
SD,Potter,6,6,161,121,,44,478,75,16,,14
SD,Roberts,14,14,964,1080,,38,322,68,10,,12
SD,Sanborn,4,4,221,144,,12,101,13,6,,11
SD,Shannon,10,0,0,0,,0,0,0,0,,0
SD,Spink,9,9,690,444,,38,333,50,14,,23
SD,Stanley,8,8,193,164,,24,316,68,9,,5
SD,Sully,4,4,100,88,,22,220,43,14,,13
SD,Todd,9,9,464,793,,13,71,23,5,,6
SD,Tripp,13,13,483,329,,70,699,132,14,,21
SD,Turner,8,8,599,381,,77,388,101,16,,14
SD,Union,13,11,1052,788,,127,1217,164,81,,52
SD,Walworth,15,15,311,218,,66,669,178,29,,30
SD,Yankton,13,13,1570,1195,,89,969,303,55,,49
SD,Ziebach,8,6,98,163,,7,44,24,2,,3
