state,county,precincts,reporting,giuliani,huckabee,keyes,mccain,paul,romney,thompson,undecided-r,write-ins-r
ME,*,626,428,2,268,1,958,851,2362,4,94,3
ME,Abbot,1,0,0,0,0,0,0,0,0,0,0
ME,Acton,1,0,0,0,0,0,0,0,0,0,0
ME,Addison,1,0,0,0,0,0,0,0,0,0,0
ME,Albany Twp.,1,0,0,0,0,0,0,0,0,0,0
ME,Albion,1,0,0,0,0,0,0,0,0,0,0
ME,Alexander,1,0,0,0,0,0,0,0,0,0,0
ME,Alfred,1,0,0,0,0,0,0,0,0,0,0
ME,Allagash,1,0,0,0,0,0,0,0,0,0,0
ME,Alna,1,0,0,0,0,0,0,0,0,0,0
ME,Alton,1,0,0,0,0,0,0,0,0,0,0
ME,Amherst,1,0,0,0,0,0,0,0,0,0,0
ME,Amity,1,0,0,0,0,0,0,0,0,0,0
ME,Andover,1,0,0,0,0,0,0,0,0,0,0
ME,Anson,1,0,0,0,0,0,0,0,0,0,0
ME,Appleton,1,0,0,0,0,0,0,0,0,0,0
ME,Arrowsic,1,0,0,0,0,0,0,0,0,0,0
ME,Arundel,1,0,0,0,0,0,0,0,0,0,0
ME,Ashland,1,0,0,0,0,0,0,0,0,0,0
ME,Athens,1,0,0,0,0,0,0,0,0,0,0
ME,Atkinson,1,0,0,0,0,0,0,0,0,0,0
ME,Auburn,5,0,0,0,0,0,0,0,0,0,0
ME,Augusta,5,0,0,0,0,0,0,0,0,0,0
ME,Aurora,1,0,0,0,0,0,0,0,0,0,0
ME,Avon,1,0,0,0,0,0,0,0,0,0,0
ME,Baileyville,1,0,0,0,0,0,0,0,0,0,0
ME,Baldwin,1,0,0,0,0,0,0,0,0,0,0
ME,Bancroft,1,0,0,0,0,0,0,0,0,0,0
ME,Bangor,5,0,0,0,0,0,0,0,0,0,0
ME,Bar Harbor,1,0,0,0,0,0,0,0,0,0,0
ME,Baring Plt.,1,0,0,0,0,0,0,0,0,0,0
ME,Bath,8,0,0,0,0,0,0,0,0,0,0
ME,Beals,1,0,0,0,0,0,0,0,0,0,0
ME,Beaver Cove,1,0,0,0,0,0,0,0,0,0,0
ME,Beddington,1,0,0,0,0,0,0,0,0,0,0
ME,Belfast,3,0,0,0,0,0,0,0,0,0,0
ME,Belgrade,1,0,0,0,0,0,0,0,0,0,0
ME,Belmont,1,0,0,0,0,0,0,0,0,0,0
ME,Benton,1,0,0,0,0,0,0,0,0,0,0
ME,Berwick,1,0,0,0,0,0,0,0,0,0,0
ME,Bethel,1,0,0,0,0,0,0,0,0,0,0
ME,Biddeford,7,0,0,0,0,0,0,0,0,0,0
ME,Bingham,1,0,0,0,0,0,0,0,0,0,0
ME,Blaine,1,0,0,0,0,0,0,0,0,0,0
ME,Blue Hill,1,0,0,0,0,0,0,0,0,0,0
ME,Boothbay,1,0,0,0,0,0,0,0,0,0,0
ME,Boothbay Harbor,1,0,0,0,0,0,0,0,0,0,0
ME,Bowdoin,1,0,0,0,0,0,0,0,0,0,0
ME,Bowdoinham,1,0,0,0,0,0,0,0,0,0,0
ME,Bowerbank,1,0,0,0,0,0,0,0,0,0,0
ME,Bradford,1,0,0,0,0,0,0,0,0,0,0
ME,Bradley,1,0,0,0,0,0,0,0,0,0,0
ME,Bremen,1,0,0,0,0,0,0,0,0,0,0
ME,Brewer,2,0,0,0,0,0,0,0,0,0,0
ME,Bridgewater,1,0,0,0,0,0,0,0,0,0,0
ME,Bridgton,1,0,0,0,0,0,0,0,0,0,0
ME,Brighton Plt.,1,0,0,0,0,0,0,0,0,0,0
ME,Bristol,1,0,0,0,0,0,0,0,0,0,0
ME,Brooklin,1,0,0,0,0,0,0,0,0,0,0
ME,Brooks,1,0,0,0,0,0,0,0,0,0,0
ME,Brooksville,1,0,0,0,0,0,0,0,0,0,0
ME,Brookton Twp.,1,0,0,0,0,0,0,0,0,0,0
ME,Brownfield,1,0,0,0,0,0,0,0,0,0,0
ME,Brownville,1,0,0,0,0,0,0,0,0,0,0
ME,Brunswick,8,0,0,0,0,0,0,0,0,0,0
ME,Buckfield,1,0,0,0,0,0,0,0,0,0,0
ME,Bucksport,1,0,0,0,0,0,0,0,0,0,0
ME,Burlington,1,0,0,0,0,0,0,0,0,0,0
ME,Burnham,1,0,0,0,0,0,0,0,0,0,0
ME,Buxton,1,0,0,0,0,0,0,0,0,0,0
ME,Byron,1,0,0,0,0,0,0,0,0,0,0
ME,Calais,1,0,0,0,0,0,0,0,0,0,0
ME,Cambridge,1,0,0,0,0,0,0,0,0,0,0
ME,Camden,1,0,0,0,0,0,0,0,0,0,0
ME,Canaan,1,0,0,0,0,0,0,0,0,0,0
ME,Canton,1,0,0,0,0,0,0,0,0,0,0
ME,Cape Elizabeth,1,0,0,0,0,0,0,0,0,0,0
ME,Caratunk,1,0,0,0,0,0,0,0,0,0,0
ME,Caribou,1,0,0,0,0,0,0,0,0,0,0
ME,Carmel,1,0,0,0,0,0,0,0,0,0,0
ME,Carrabassett Valley,1,0,0,0,0,0,0,0,0,0,0
ME,Carroll Plt.,1,0,0,0,0,0,0,0,0,0,0
ME,Carthage,1,0,0,0,0,0,0,0,0,0,0
ME,Cary Plt.,1,0,0,0,0,0,0,0,0,0,0
ME,Casco,1,0,0,0,0,0,0,0,0,0,0
ME,Castine,1,0,0,0,0,0,0,0,0,0,0
ME,Castle Hill,1,0,0,0,0,0,0,0,0,0,0
ME,Caswell,1,0,0,0,0,0,0,0,0,0,0
ME,Centerville Twp.,1,0,0,0,0,0,0,0,0,0,0
ME,Chapman,1,0,0,0,0,0,0,0,0,0,0
ME,Charleston,1,0,0,0,0,0,0,0,0,0,0
ME,Charlotte,1,0,0,0,0,0,0,0,0,0,0
ME,Chebeague Island,1,0,0,0,0,0,0,0,0,0,0
ME,Chelsea,1,0,0,0,0,0,0,0,0,0,0
ME,Cherryfield,1,0,0,0,0,0,0,0,0,0,0
ME,Chester,1,0,0,0,0,0,0,0,0,0,0
ME,Chesterville,1,0,0,0,0,0,0,0,0,0,0
ME,China,1,0,0,0,0,0,0,0,0,0,0
ME,Clifton,1,0,0,0,0,0,0,0,0,0,0
ME,Clinton,1,0,0,0,0,0,0,0,0,0,0
ME,Codyville Plt.,1,0,0,0,0,0,0,0,0,0,0
ME,Columbia,1,0,0,0,0,0,0,0,0,0,0
ME,Columbia Falls,1,0,0,0,0,0,0,0,0,0,0
ME,Connor Twp.,1,0,0,0,0,0,0,0,0,0,0
ME,Cooper,1,0,0,0,0,0,0,0,0,0,0
ME,Coplin Plt.,1,0,0,0,0,0,0,0,0,0,0
ME,Corinna,1,0,0,0,0,0,0,0,0,0,0
ME,Corinth,1,0,0,0,0,0,0,0,0,0,0
ME,Cornish,1,0,0,0,0,0,0,0,0,0,0
ME,Cornville,1,0,0,0,0,0,0,0,0,0,0
ME,Cranberry Isles,2,0,0,0,0,0,0,0,0,0,0
ME,Crawford,1,0,0,0,0,0,0,0,0,0,0
ME,Crystal,1,0,0,0,0,0,0,0,0,0,0
ME,Cumberland,1,0,0,0,0,0,0,0,0,0,0
ME,Cushing,1,0,0,0,0,0,0,0,0,0,0
ME,Cutler,1,0,0,0,0,0,0,0,0,0,0
ME,Cyr Plt.,1,0,0,0,0,0,0,0,0,0,0
ME,Dallas Plt.,1,0,0,0,0,0,0,0,0,0,0
ME,Damariscotta,1,0,0,0,0,0,0,0,0,0,0
ME,Danforth,1,0,0,0,0,0,0,0,0,0,0
ME,Dayton,1,0,0,0,0,0,0,0,0,0,0
ME,Deblois,1,0,0,0,0,0,0,0,0,0,0
ME,Dedham,1,0,0,0,0,0,0,0,0,0,0
ME,Deer Isle,1,0,0,0,0,0,0,0,0,0,0
ME,Denmark,1,0,0,0,0,0,0,0,0,0,0
ME,Dennistown Plt.,1,0,0,0,0,0,0,0,0,0,0
ME,Dennysville,1,0,0,0,0,0,0,0,0,0,0
ME,Detroit,1,0,0,0,0,0,0,0,0,0,0
ME,Dexter,1,0,0,0,0,0,0,0,0,0,0
ME,Dixfield,1,0,0,0,0,0,0,0,0,0,0
ME,Dixmont,1,0,0,0,0,0,0,0,0,0,0
ME,Dover-Foxcroft,1,0,0,0,0,0,0,0,0,0,0
ME,Dresden,1,0,0,0,0,0,0,0,0,0,0
ME,Drew Plt.,1,0,0,0,0,0,0,0,0,0,0
ME,DTT9 & T10 Twp,1,0,0,0,0,0,0,0,0,0,0
ME,Durham,1,0,0,0,0,0,0,0,0,0,0
ME,Dyer Brook,1,0,0,0,0,0,0,0,0,0,0
ME,Eagle Lake,1,0,0,0,0,0,0,0,0,0,0
ME,East Machias,1,0,0,0,0,0,0,0,0,0,0
ME,East Millinocket,1,0,0,0,0,0,0,0,0,0,0
ME,Eastbrook,1,0,0,0,0,0,0,0,0,0,0
ME,Easton,1,0,0,0,0,0,0,0,0,0,0
ME,Eastport,1,0,0,0,0,0,0,0,0,0,0
ME,Eddington,1,0,0,0,0,0,0,0,0,0,0
ME,Edgecomb,1,0,0,0,0,0,0,0,0,0,0
ME,Edinburg,1,0,0,0,0,0,0,0,0,0,0
ME,Edmunds Twp.,1,0,0,0,0,0,0,0,0,0,0
ME,Eliot,1,0,0,0,0,0,0,0,0,0,0
ME,Ellsworth,4,0,0,0,0,0,0,0,0,0,0
ME,Embden,1,0,0,0,0,0,0,0,0,0,0
ME,Enfield,1,0,0,0,0,0,0,0,0,0,0
ME,Etna,1,0,0,0,0,0,0,0,0,0,0
ME,Eustis,1,0,0,0,0,0,0,0,0,0,0
ME,Exeter,1,0,0,0,0,0,0,0,0,0,0
ME,Fairfield,1,0,0,0,0,0,0,0,0,0,0
ME,Falmouth,1,0,0,0,0,0,0,0,0,0,0
ME,Farmingdale,1,0,0,0,0,0,0,0,0,0,0
ME,Farmington,1,0,0,0,0,0,0,0,0,0,0
ME,Fayette,1,0,0,0,0,0,0,0,0,0,0
ME,Fort Fairfield,1,0,0,0,0,0,0,0,0,0,0
ME,Fort Kent,1,0,0,0,0,0,0,0,0,0,0
ME,Frankfort,1,0,0,0,0,0,0,0,0,0,0
ME,Franklin,1,0,0,0,0,0,0,0,0,0,0
